iter	Logloss
0	0.6860174561
1	0.6799402618
2	0.6752758789
3	0.6712886047
4	0.6676889038
5	0.6647213745
6	0.6619326782
7	0.6594123077
8	0.6573350525
9	0.6552970886
10	0.6533613586
11	0.6517002869
12	0.6503369904
13	0.6489412689
14	0.6476048279
15	0.646611557
16	0.6455291748
17	0.6446695709
18	0.6438619995
19	0.6430196381
20	0.6422416687
21	0.6413665771
22	0.6406958771
23	0.6400921631
24	0.6395152283
25	0.6388585663
26	0.6382800293
27	0.637345047
28	0.6367566681
29	0.6362158966
30	0.6357359314
31	0.6352586746
32	0.6345927811
33	0.633661499
34	0.6328730774
35	0.632624855
36	0.6318415833
37	0.6311915207
38	0.6309610367
39	0.6304491806
40	0.6300009537
41	0.6295238113
42	0.6293853378
43	0.628807373
44	0.6283744049
45	0.6277636337
46	0.6271143341
47	0.6265138245
48	0.6258990479
49	0.6254620361
50	0.6250771713
51	0.6245316315
52	0.6242341614
53	0.6238225555
54	0.6233135986
55	0.6229563141
56	0.6225420761
57	0.6220611191
58	0.6213620758
59	0.6209593201
60	0.6206686783
61	0.620287056
62	0.6196594238
63	0.6192461395
64	0.6186546326
65	0.6182868576
66	0.6177395248
67	0.6172847748
68	0.6164048767
69	0.6158437729
70	0.6155089569
71	0.614646492
72	0.614209671
73	0.6137841034
74	0.6131381989
75	0.612694397
76	0.6123506165
77	0.6119376373
78	0.6114898682
79	0.6110535431
80	0.6106349564
81	0.6102241898
82	0.6097406769
83	0.6091761017
84	0.6086606598
85	0.6081719971
86	0.6077942276
87	0.6071685028
88	0.6067278671
89	0.6061305237
90	0.6056409454
91	0.6053754044
92	0.6048472595
93	0.6045251465
94	0.6040663528
95	0.6033752823
96	0.602882576
97	0.6025828171
98	0.602208786
99	0.6016578674
