iter	Passed	Remaining
0	2	249
1	4	233
2	6	222
3	9	222
4	11	218
5	13	218
6	16	215
7	18	215
8	21	214
9	23	209
10	25	209
11	28	206
12	30	206
13	33	204
14	35	201
15	38	200
16	40	197
17	42	194
18	45	192
19	47	189
20	49	186
21	51	184
22	54	180
23	56	178
24	58	175
25	60	173
26	63	171
27	66	169
28	68	167
29	70	165
30	73	162
31	75	161
32	78	158
33	80	156
34	82	153
35	85	151
36	87	149
37	90	147
38	92	144
39	94	142
40	96	139
41	99	136
42	101	134
43	103	132
44	106	129
45	108	127
46	110	125
47	113	122
48	115	120
49	118	118
50	120	115
51	122	113
52	125	111
53	127	108
54	130	106
55	132	104
56	134	101
57	137	99
58	139	96
59	141	94
60	144	92
61	146	89
62	148	87
63	151	85
64	153	82
65	156	80
66	158	78
67	161	75
68	163	73
69	165	71
70	168	68
71	170	66
72	172	63
73	175	61
74	177	59
75	179	56
76	182	54
77	184	52
78	186	49
79	189	47
80	191	45
81	194	42
82	197	40
83	199	37
84	202	35
85	204	33
86	206	30
87	208	28
88	211	26
89	213	23
90	215	21
91	218	18
92	221	16
93	223	14
94	225	11
95	228	9
96	230	7
97	233	4
98	235	2
99	237	0
